section,path,seq,latency_ns
sample,shm,1,72300
sample,shm,2,60600
sample,shm,3,69500
sample,shm,4,64700
sample,shm,5,57400
sample,shm,6,49500
sample,shm,7,41200
sample,shm,8,38200
sample,shm,9,75900
sample,shm,10,65100
sample,shm,11,56200
sample,shm,12,47900
sample,shm,13,51200
sample,shm,14,42900
sample,shm,15,47600
sample,shm,16,57500
sample,shm,17,48000
sample,shm,18,59200
sample,shm,19,38500
sample,shm,20,51300
sample,shm,21,80400
sample,shm,22,70800
sample,shm,23,62500
sample,shm,24,56900
sample,shm,25,61600
sample,shm,26,40600
sample,shm,27,37400
sample,shm,28,37000
sample,shm,29,36100
sample,shm,30,63400
sample,shm,31,31500
sample,shm,32,31200
sample,shm,33,33800
sample,shm,34,29200
sample,shm,35,29300
sample,shm,36,29200
sample,shm,37,29200
sample,shm,38,29700
sample,shm,39,29100
sample,shm,40,29100
sample,shm,41,28800
sample,shm,42,29400
sample,shm,43,29000
sample,shm,44,28600
sample,shm,45,28900
sample,shm,46,28900
sample,shm,47,29800
sample,shm,48,29200
sample,shm,49,29200
sample,shm,50,29200
sample,shm,51,29300
sample,shm,52,29100
sample,shm,53,29800
sample,shm,54,29400
sample,shm,55,28800
sample,shm,56,29400
sample,shm,57,32400
sample,shm,58,35100
sample,shm,59,42300
sample,shm,60,31800
sample,shm,61,30400
sample,shm,62,29700
sample,shm,63,30300
sample,shm,64,29300
sample,shm,65,29600
sample,shm,66,29700
sample,shm,67,34000
sample,shm,68,28900
sample,shm,69,29200
sample,shm,70,29000
sample,shm,71,64400
sample,shm,72,53200
sample,shm,73,40700
sample,shm,74,31000
sample,shm,75,30100
sample,shm,76,29600
sample,shm,77,29000
sample,shm,78,29700
sample,shm,79,60800
sample,shm,80,36000
sample,shm,81,30900
sample,shm,82,29300
sample,shm,83,28700
sample,shm,84,28800
sample,shm,85,38100
sample,shm,86,30300
sample,shm,87,29200
sample,shm,88,29300
sample,shm,89,29300
sample,shm,90,29000
sample,shm,91,28800
sample,shm,92,33100
sample,shm,93,29400
sample,shm,94,29300
sample,shm,95,29500
sample,shm,96,30400
sample,shm,97,29600
sample,shm,98,29400
sample,shm,99,29500
sample,zmq,1,110400
sample,zmq,2,116900
sample,zmq,3,86900
sample,zmq,4,74400
sample,zmq,5,70100
sample,zmq,6,64300
sample,zmq,7,62500
sample,zmq,8,69700
sample,zmq,9,69900
sample,zmq,10,66300
sample,zmq,11,66900
sample,zmq,12,74000
sample,zmq,13,71100
sample,zmq,14,69500
sample,zmq,15,67400
sample,zmq,16,67200
sample,zmq,17,67000
sample,zmq,18,67900
sample,zmq,19,68200
sample,zmq,20,69800
sample,zmq,21,98500
sample,zmq,22,114800
sample,zmq,23,122500
sample,zmq,24,73200
sample,zmq,25,91800
sample,zmq,26,66800
sample,zmq,27,54200
sample,zmq,28,83900
sample,zmq,29,68100
sample,zmq,30,82600
sample,zmq,31,79700
sample,zmq,32,62200
sample,zmq,33,98100
sample,zmq,34,142700
sample,zmq,35,102500
sample,zmq,36,98800
sample,zmq,37,93100
sample,zmq,38,88600
sample,zmq,39,111400
sample,zmq,40,94000
sample,zmq,41,132400
sample,zmq,42,106600
sample,zmq,43,95600
sample,zmq,44,93100
sample,zmq,45,104000
sample,zmq,46,96500
sample,zmq,47,92900
sample,zmq,48,90900
sample,zmq,49,91600
sample,zmq,50,92900
sample,zmq,51,128900
sample,zmq,52,100400
sample,zmq,53,123800
sample,zmq,54,144400
sample,zmq,55,151300
sample,zmq,56,107100
sample,zmq,57,86400
sample,zmq,58,111300
sample,zmq,59,116100
sample,zmq,60,136000
sample,zmq,61,140800
sample,zmq,62,105000
sample,zmq,63,95800
sample,zmq,64,149500
sample,zmq,65,98600
sample,zmq,66,104700
sample,zmq,67,111900
sample,zmq,68,105300
sample,zmq,69,132400
sample,zmq,70,113500
sample,zmq,71,114100
sample,zmq,72,78400
sample,zmq,73,133500
sample,zmq,74,105200
sample,zmq,75,111300
sample,zmq,76,99800
sample,zmq,77,104100
sample,zmq,78,119200
sample,zmq,79,99300
sample,zmq,80,89500
sample,zmq,81,88700
sample,zmq,82,89700
sample,zmq,83,107600
sample,zmq,84,134900
sample,zmq,85,129800
sample,zmq,86,100200
sample,zmq,87,102400
sample,zmq,88,109700
sample,zmq,89,97500
sample,zmq,90,100900
sample,zmq,91,99000
sample,zmq,92,105900
sample,zmq,93,99400
sample,zmq,94,75000
sample,zmq,95,132400
sample,zmq,96,116300
sample,zmq,97,96800
sample,zmq,98,105400
sample,zmq,99,150500

section,path,count,p50_ns,p95_ns,p99_ns,mean_ns
SUMMARY,shm,99,30300,65540,75990,38662.63
SUMMARY,zmq,99,98800,140990,150516,98627.27

COMPARE,zmq_p50_over_shm_p50,,3.2607,,,
