section,scenario,window_index,skipped_existing,attempts,retried,ok,exit_code,reason,check_run,check_metric,actual_p99_ns,actual_p999_ns,target_p99_ns,target_p999_ns,gap_messages,ring_dropped_delta,committed_mismatch,crc_mismatch,payload_mismatch,observed_trades,artifact_csv,artifact_manifest
HFT,lp0-numa_auto,1,1,1,0,0,0,market_not_connected,pinned,shm_write_trade_duration,-1,-1,10000,20000,,,,,,,distributor\logs\m6-m7-evidence-manual-2\hft\lp0-numa_auto\summary.csv,distributor\logs\m6-m7-evidence-manual-2\hft\lp0-numa_auto\summary.manifest.json
HFT,lp0-numa0,1,1,1,0,0,0,market_not_connected,pinned,shm_write_trade_duration,-1,-1,10000,20000,,,,,,,distributor\logs\m6-m7-evidence-manual-2\hft\lp0-numa0\summary.csv,distributor\logs\m6-m7-evidence-manual-2\hft\lp0-numa0\summary.manifest.json
HFT,lp1-numa_auto,1,1,1,0,0,0,market_not_connected,pinned,shm_write_trade_duration,-1,-1,10000,20000,,,,,,,distributor\logs\m6-m7-evidence-manual-2\hft\lp1-numa_auto\summary.csv,distributor\logs\m6-m7-evidence-manual-2\hft\lp1-numa_auto\summary.manifest.json
HFT,lp1-numa0,1,1,1,0,0,0,market_not_connected,pinned,shm_write_trade_duration,-1,-1,10000,20000,,,,,,,distributor\logs\m6-m7-evidence-manual-2\hft\lp1-numa0\summary.csv,distributor\logs\m6-m7-evidence-manual-2\hft\lp1-numa0\summary.manifest.json
HFT_AGGREGATE,lp0-numa0,,1,,,0,0,market_not_connected,pinned,shm_write_trade_duration,-1,-1,10000,20000,,,,,,,distributor\logs\m6-m7-evidence-manual-2\hft\lp0-numa0\summary.csv,distributor\logs\m6-m7-evidence-manual-2\hft\lp0-numa0\summary.manifest.json
HFT_AGGREGATE,lp0-numa_auto,,1,,,0,0,market_not_connected,pinned,shm_write_trade_duration,-1,-1,10000,20000,,,,,,,distributor\logs\m6-m7-evidence-manual-2\hft\lp0-numa_auto\summary.csv,distributor\logs\m6-m7-evidence-manual-2\hft\lp0-numa_auto\summary.manifest.json
HFT_AGGREGATE,lp1-numa0,,1,,,0,0,market_not_connected,pinned,shm_write_trade_duration,-1,-1,10000,20000,,,,,,,distributor\logs\m6-m7-evidence-manual-2\hft\lp1-numa0\summary.csv,distributor\logs\m6-m7-evidence-manual-2\hft\lp1-numa0\summary.manifest.json
HFT_AGGREGATE,lp1-numa_auto,,1,,,0,0,market_not_connected,pinned,shm_write_trade_duration,-1,-1,10000,20000,,,,,,,distributor\logs\m6-m7-evidence-manual-2\hft\lp1-numa_auto\summary.csv,distributor\logs\m6-m7-evidence-manual-2\hft\lp1-numa_auto\summary.manifest.json
HFT_AGGREGATE_GATE,all,,,,,1,,disabled,,,,,-1,-1,,,,,,,,
IPC_SESSION,session,,1,1,0,1,0,ok,,,,,,,0,0,0,0,0,0,distributor\logs\m6-m7-evidence-manual-2\ipc\session.csv,distributor\logs\m6-m7-evidence-manual-2\ipc\session.manifest.json
IPC_AGGREGATE,session,,,,,1,0,ok,,,,,,,0,0,0,0,0,0,distributor\logs\m6-m7-evidence-manual-2\ipc\session.csv,distributor\logs\m6-m7-evidence-manual-2\ipc\session.manifest.json
OVERALL,m6_m7,,,,,0,,failed,,,,,,,,,,,,,,
