ts,topic,type,ticker,price,qty,agent,rule,label,buy_agent,sell_agent,previous_delta,current_delta,agent_name
2026-03-17T17:55:52.465Z,market,trade,TESTE,99992.95186703451,125,,,,JPM,UBS,,,
2026-03-17T17:55:52.621Z,market,trade,TESTE,99999.43336297118,109,,,,ITAU,CS,,,
2026-03-17T17:55:52.779Z,market,trade,TESTE,99994.88887396644,152,,,,ITAU,CS,,,
2026-03-17T17:55:52.939Z,market,trade,TESTE,99982.83260123878,199,,,,BARCL,JPM,,,
2026-03-17T17:55:53.095Z,market,trade,TESTE,99987.68083534454,195,,,,XP,GOLDM,,,
2026-03-17T17:55:53.250Z,market,trade,TESTE,99990.35300753359,113,,,,MS,CITI,,,
2026-03-17T17:55:53.402Z,market,trade,TESTE,99993.74888093141,48,,,,JPM,XP,,,
2026-03-17T17:55:53.562Z,market,trade,TESTE,99994.52459605358,71,,,,JPM,XP,,,
2026-03-17T17:55:53.718Z,market,trade,TESTE,100008.5042202432,37,,,,BTG,JPM,,,
2026-03-17T17:55:53.873Z,market,trade,TESTE,99997.3250234012,50,,,,CS,ITAU,,,
2026-03-17T17:55:54.028Z,market,trade,TESTE,99993.79224589122,64,,,,MS,CS,,,
2026-03-17T17:55:54.178Z,market,trade,TESTE,100000.56487056143,165,,,,GOLDM,GOLDM,,,
2026-03-17T17:55:54.339Z,market,trade,TESTE,99991.98406432933,16,,,,UBS,CS,,,
2026-03-17T17:55:54.498Z,market,trade,TESTE,100006.20593665449,23,,,,CS,BTG,,,
2026-03-17T17:55:54.656Z,market,trade,TESTE,100011.01331363623,186,,,,GOLDM,BARCL,,,
2026-03-17T17:55:54.817Z,market,trade,TESTE,100009.77102280267,78,,,,BTG,GOLDM,,,
2026-03-17T17:55:54.977Z,market,flow_inversion,,,,,,,,,-23,161,BTG
2026-03-17T17:55:54.977Z,market,trade,TESTE,100005.93054806179,184,,,,BTG,CS,,,
2026-03-17T17:55:55.130Z,market,trade,TESTE,100007.0271675911,174,,,,MS,UBS,,,
2026-03-17T17:55:55.288Z,market,trade,TESTE,100010.10936984187,40,,,,GOLDM,ITAU,,,
2026-03-17T17:55:55.449Z,market,trade,TESTE,100001.16851206053,106,,,,MS,CS,,,
2026-03-17T17:55:55.608Z,market,flow_inversion,,,,,,,,,-125,62,UBS
2026-03-17T17:55:55.608Z,market,trade,TESTE,100009.94412115306,187,,,,UBS,CITI,,,
2026-03-17T17:55:55.766Z,market,trade,TESTE,100013.90148149889,47,,,,JPM,GOLDM,,,
2026-03-17T17:55:55.925Z,market,trade,TESTE,100004.92562511314,74,,,,MS,CS,,,
2026-03-17T17:55:56.083Z,market,trade,TESTE,100015.356461328,123,,,,BARCL,ITAU,,,
2026-03-17T17:55:56.234Z,market,trade,TESTE,100013.97538484426,104,,,,CITI,MS,,,
2026-03-17T17:55:56.396Z,market,trade,TESTE,100018.84460351506,112,,,,CS,UBS,,,
2026-03-17T17:55:56.547Z,market,trade,TESTE,100012.85112969147,69,,,,GOLDM,BARCL,,,
2026-03-17T17:55:56.707Z,market,trade,TESTE,100018.13981418069,106,,,,GOLDM,UBS,,,
2026-03-17T17:55:56.871Z,market,trade,TESTE,100020.77593576118,34,,,,MS,JPM,,,
2026-03-17T17:55:57.032Z,market,trade,TESTE,100022.41402805831,94,,,,BTG,UBS,,,
2026-03-17T17:55:57.186Z,market,trade,TESTE,100019.05160727625,20,,,,UBS,GOLDM,,,
2026-03-17T17:55:57.349Z,market,trade,TESTE,100008.96804488591,199,,,,ITAU,GOLDM,,,
2026-03-17T17:55:57.514Z,market,trade,TESTE,100011.4420801973,19,,,,GOLDM,MS,,,
2026-03-17T17:55:57.664Z,market,trade,TESTE,100023.61874063988,180,,,,UBS,CITI,,,
2026-03-17T17:55:57.816Z,market,trade,TESTE,100026.4817440579,43,,,,CITI,CITI,,,
2026-03-17T17:55:57.967Z,market,trade,TESTE,100031.27146137386,42,,,,BTG,MS,,,
2026-03-17T17:55:58.128Z,market,trade,TESTE,100030.39342680405,163,,,,BTG,XP,,,
2026-03-17T17:55:58.281Z,market,trade,TESTE,100021.44103400933,63,,,,XP,BTG,,,
2026-03-17T17:55:58.446Z,market,trade,TESTE,100028.10802925561,75,,,,BTG,BTG,,,
2026-03-17T17:55:58.596Z,market,trade,TESTE,100017.90243622332,186,,,,ITAU,BARCL,,,
2026-03-17T17:55:58.747Z,market,trade,TESTE,100021.97090981847,106,,,,BTG,UBS,,,
2026-03-17T17:55:58.913Z,market,trade,TESTE,100031.42259571963,69,,,,UBS,BARCL,,,
2026-03-17T17:55:59.064Z,market,trade,TESTE,100029.38493896146,128,,,,JPM,JPM,,,
2026-03-17T17:55:59.216Z,market,trade,TESTE,100021.54264224425,132,,,,ITAU,CITI,,,
2026-03-17T17:55:59.383Z,market,trade,TESTE,100017.81633581674,129,,,,CS,XP,,,
2026-03-17T17:55:59.550Z,market,trade,TESTE,100021.6263185411,131,,,,GOLDM,CS,,,
2026-03-17T17:55:59.709Z,market,trade,TESTE,100028.33831971647,139,,,,UBS,UBS,,,
2026-03-17T17:55:59.866Z,market,trade,TESTE,100016.23088789685,118,,,,CITI,CS,,,
2026-03-17T17:56:00.072Z,market,trade,TESTE,100013.06451379947,144,,,,BTG,BARCL,,,
2026-03-17T17:56:00.250Z,market,trade,TESTE,100020.9460266684,155,,,,XP,CS,,,
2026-03-17T17:56:00.403Z,market,trade,TESTE,100022.74495602016,52,,,,GOLDM,GOLDM,,,
2026-03-17T17:56:00.564Z,market,trade,TESTE,100027.33707794668,137,,,,ITAU,GOLDM,,,
2026-03-17T17:56:00.718Z,market,trade,TESTE,100031.26041186192,58,,,,JPM,CS,,,
2026-03-17T17:56:00.877Z,market,trade,TESTE,100030.9711449413,80,,,,BARCL,BTG,,,
2026-03-17T17:56:01.033Z,market,trade,TESTE,100016.27166783667,14,,,,BTG,CS,,,
2026-03-17T17:56:01.204Z,market,trade,TESTE,100016.59905946019,153,,,,ITAU,XP,,,
2026-03-17T17:56:01.366Z,market,trade,TESTE,100018.7934244883,166,,,,JPM,BARCL,,,
2026-03-17T17:56:01.527Z,market,trade,TESTE,100017.72149780064,88,,,,BARCL,BARCL,,,
2026-03-17T17:56:01.687Z,market,trade,TESTE,100015.07439712521,92,,,,CS,UBS,,,
2026-03-17T17:56:01.841Z,market,trade,TESTE,100012.65785698881,149,,,,XP,ITAU,,,
2026-03-17T17:56:01.995Z,market,trade,TESTE,100024.31653455916,170,,,,JPM,XP,,,
2026-03-17T17:56:02.153Z,market,trade,TESTE,100023.81109795917,133,,,,UBS,XP,,,
2026-03-17T17:56:02.315Z,market,trade,TESTE,100028.41129218013,30,,,,CS,CS,,,
2026-03-17T17:56:02.467Z,market,trade,TESTE,100024.33420751283,183,,,,UBS,ITAU,,,
2026-03-17T17:56:02.630Z,market,trade,TESTE,100010.7696171048,28,,,,XP,JPM,,,
2026-03-17T17:56:02.792Z,market,trade,TESTE,100022.16365413902,78,,,,CS,JPM,,,
2026-03-17T17:56:02.947Z,market,trade,TESTE,100011.43129374957,152,,,,UBS,CITI,,,
2026-03-17T17:56:03.111Z,market,trade,TESTE,100025.12907511319,157,,,,BARCL,GOLDM,,,
2026-03-17T17:56:03.267Z,market,trade,TESTE,100019.38869399691,69,,,,MS,BARCL,,,
2026-03-17T17:56:03.432Z,market,trade,TESTE,100024.06031213576,20,,,,JPM,UBS,,,
2026-03-17T17:56:03.589Z,market,trade,TESTE,100032.51600711058,164,,,,XP,UBS,,,
2026-03-17T17:56:03.749Z,market,trade,TESTE,100029.46395871518,150,,,,ITAU,CS,,,
2026-03-17T17:56:03.911Z,market,trade,TESTE,100029.85452519589,87,,,,XP,MS,,,
2026-03-17T17:56:04.065Z,market,trade,TESTE,100023.33876521206,183,,,,BARCL,BTG,,,
2026-03-17T17:56:04.217Z,market,trade,TESTE,100021.14035665279,103,,,,JPM,UBS,,,
2026-03-17T17:56:04.381Z,market,trade,TESTE,100027.41826610951,6,,,,BARCL,BTG,,,
2026-03-17T17:56:04.532Z,market,trade,TESTE,100013.70280554568,80,,,,UBS,CS,,,
2026-03-17T17:56:04.683Z,market,trade,TESTE,100019.76807846845,24,,,,CS,BARCL,,,
2026-03-17T17:56:04.834Z,market,trade,TESTE,100017.0502081284,15,,,,ITAU,UBS,,,
2026-03-17T17:56:04.988Z,market,trade,TESTE,100004.93550654281,130,,,,ITAU,CITI,,,
2026-03-17T17:56:05.147Z,market,flow_inversion,,,,,,,,,-21,153,GOLDM
2026-03-17T17:56:05.147Z,market,trade,TESTE,100015.12575588621,174,,,,GOLDM,GOLDM,,,
2026-03-17T17:56:05.312Z,market,trade,TESTE,100006.12942030284,190,,,,JPM,XP,,,
2026-03-17T17:56:05.468Z,market,trade,TESTE,100020.01842321965,136,,,,XP,MS,,,
2026-03-17T17:56:05.624Z,market,trade,TESTE,100016.96494001111,52,,,,BARCL,UBS,,,
2026-03-17T17:56:05.782Z,market,trade,TESTE,100002.98686085039,195,,,,XP,CITI,,,
2026-03-17T17:56:05.944Z,market,trade,TESTE,99999.3573601861,146,,,,BARCL,UBS,,,
2026-03-17T17:56:06.110Z,market,trade,TESTE,100004.65107459335,142,,,,BARCL,GOLDM,,,
2026-03-17T17:56:06.265Z,market,trade,TESTE,100005.76396407184,93,,,,UBS,MS,,,
2026-03-17T17:56:06.430Z,market,trade,TESTE,99992.20277574488,107,,,,XP,GOLDM,,,
2026-03-17T17:56:06.583Z,market,trade,TESTE,99999.09879658473,138,,,,GOLDM,UBS,,,
2026-03-17T17:56:06.745Z,market,trade,TESTE,99996.53124862014,138,,,,XP,GOLDM,,,
2026-03-17T17:56:06.899Z,market,trade,TESTE,99986.2584863302,9,,,,UBS,GOLDM,,,
2026-03-17T17:56:07.063Z,market,trade,TESTE,99982.16757489616,30,,,,GOLDM,CS,,,
2026-03-17T17:56:07.217Z,market,trade,TESTE,99987.89206765052,52,,,,MS,JPM,,,
2026-03-17T17:56:07.383Z,market,trade,TESTE,99992.07294974162,25,,,,CS,UBS,,,
2026-03-17T17:56:07.533Z,market,trade,TESTE,99995.92594737225,160,,,,BTG,MS,,,
2026-03-17T17:56:07.694Z,market,trade,TESTE,99999.28133603794,81,,,,JPM,GOLDM,,,
2026-03-17T17:56:07.849Z,market,trade,TESTE,99995.33501008307,102,,,,ITAU,CS,,,
2026-03-17T17:56:08.002Z,market,trade,TESTE,99982.69293033102,177,,,,BARCL,GOLDM,,,
2026-03-17T17:56:08.156Z,market,trade,TESTE,99982.29215528812,104,,,,UBS,CS,,,
2026-03-17T17:56:08.316Z,market,trade,TESTE,99986.91336993017,174,,,,JPM,GOLDM,,,
2026-03-17T17:56:08.468Z,market,trade,TESTE,100000.82460562204,96,,,,BARCL,GOLDM,,,
2026-03-17T17:56:08.631Z,market,trade,TESTE,99988.288689928,54,,,,BARCL,XP,,,
2026-03-17T17:56:08.794Z,market,trade,TESTE,99998.03571003476,49,,,,XP,ITAU,,,
