section,metric,value
STRESS,target_rate,5000
STRESS,duration_sec,1.5
STRESS,written,7500
STRESS,producer_elapsed_sec,3.12186
STRESS,final_write_seq,7500
STRESS,ring_dropped_counter,0
STRESS,ring_capacity,559239
STRESS,crc_mismatch,0
STRESS,payload_mismatch,0
STRESS,achieved_rate,5000.0
STRESS,achieved_rate_effective,2402.41
STRESS,max_ring_dropped_allowed,0
STRESS,max_crc_mismatch_allowed,0
STRESS,max_payload_mismatch_allowed,0
STRESS,min_achieved_rate_allowed,1000.0
STRESS,min_achieved_rate_ratio_allowed,0.5
STRESS,achieved_rate_ratio,0.480482
STRESS,stress_ok,0
